, JK
Of, course
Off, you
Offend, Dobby
Office, was
Ogdens, Old
Oh, that
Okay, Ron
Old, Firewhisky
Older, and
Olive, Page
Oliver, Wood
On, the
Once, we
One, long
Ones, for
Only, a
Oooh, it
Ooooh, it
Ooooooh, wait
Oozing, back
Open, said
Opened, Thats
Or, maybe
Order, of
Ordinary, Wizarding
Otherwise, Riddle
Ottery, St
Ouagadougou, said
Ouch, What
Our, kind
Out, OUT
Over, her
Overhead, the
Own, Cheese
Owners, to
Oy, you
P, a
PARTY, October
PEEVES, Filch
PERCYS, BOOK
POLY, JUICE
POTION, They
PUT, ANOTHER
Page, 
Panting, Ron
Paragraph, C
Parselmouth, in
Parselmouths, to
Parseltongue, 
Particularly, in
Parvati, Patil
Pass, me
Password, she
Patched, frayed
Pathetic, Then
Patil, youd
Patrick, and
Patricks, head
Peebles, reported
Peeves, had
Penelope, Clearwater
Pennyfeather, snapped
People, swapped
Pepperup, Potion
Percy, doing
Percys, got
Perfect, Quidditch
Perhaps, the
Perkins, in
Peskipiksi, Pesternomti
Pesternomti, It
Pests, There
Peter, Weasley
Petrified, will
Petrify, Filch
Petunia, would
Petunias, hand
Phoenix, tears
Phoenixes, burst
Pimply, Pimplyl
Pimplyl, Oh
Pince, who
Pinch, it
Pinching, his
Pinhead, kept
Pinned, to
Pipes, 
Pitiful, said
Pity, it
Play, to
Please, help
Plenty, of
Podmore, 
Poking, out
Polo, It
Poltergeist, came
Polyjuice, Potion
Pomfrey, is
Pomfreys, view
Positive, said
Possibly, Lockhart
Post, Office
Potente, Potions
Potion, would
Potions, lesson
Potter, and
Potters, written
Power, A
Powerful, enough
Precisely, said
Prefect, Head
Prefects, Who
Preferring, not
Prepare, his
Preserved, in
Pretending, he
Privet, Drive
Probably, the
Prod, of
Professer, Sprout
Professor, Lockhart
Professors, McGonagall
Properly, DecapitatedPodmore
Prophet, too
Protection, Act
Proud, said
Prove, it
Pucey, was
Pudding, might
Pulling, their
Put, you
Quaffle, to
Quality, Quidditch
Quick, behind
Quickly, wondering
Quidditch, matches
Quietly, Harry
Quite, a
REQUIRE, The
REWARD, For
ROGUE, BLUDGER
RON, Percy
RONALDS, ROOM
ROOF, Harry
ROOM, Harry
RRiddle, made
RUDDY, OWL
RUN, FOR
Rain, was
Raindrops, the
Rather, sensible
Ravenclaw, prefect
Read, it
Ready, came
Really, Severus
Reasonable, Restriction
Regrowing, bones
Reliable, historical
Relief, 
Remember, Harry
Remover, but
Repellent, said
Resisting, the
Restorative, Draught
Restricted, Section
Restriction, of
Revealer, I
Reverse, Harry
Rictusempral, A
Riddle, has
Riddles, memories
Right, said
Road, 
Robes, jade
Romania, studying
Ron, scribbling
Rons, four
Rotten, ter
Rowena, Ravenclaw
Rowling, classroom
Rubbish, snarled
Rubeus, said
Rude, you
Run, for
Runes, Made
S, Snape
SAFE, RUN
SAW, IT
SAYING, THE
SECOND, YEARS
SECONDYEAR, STUDENTS
SECRET, DIARY
SECRETS, All
SHAME, WE
SHH, Harry
SILENCE, Snape
SIR, NICHOLAS
SLYTHERIN, He
SMELL, HIM
SNIFF, 
ST, OCTOBER
STEALING, THE
STILL, SMELL
STOP, he
STOPPED, TO
STRAIGHT, BACK
STUDENTS, WILL
SUPPOSE, YOU
SURPRISED, IF
Said, she
Saint, Potter
Salazar, Slytherin
Santa, Claus
Sardinian, sorcerers
Saturday, morning
Saturdays, match
Say, something
Says, who
Scabbers, the
Scared, muttered
Scarhead, yelled
School, and
Scintillation, Solution
Scorch, marks
Scott, 
Scratched, on
Seamus, The
Second, one
Seconds, after
Secrecy, Enjoy
Secrets, 
Section, Some
See, you
Seeing, that
Seeker, was
Seekers, got
Self, Shuffling
Sell, them
Selling, The
Sending, the
September, of
Serpensortial, The
Serpent, of
Serpents, This
Serpenttongue, There
Services, to
Seven, highly
Several, of
Severus, he
Shaking, all
Shall, we
Shame, said
She, left
Shed, found
Shell, be
Shes, just
Shh, and
Shining, brightly
Shivering, Harry
Shooting, Star
Shop, they
Should, we
Shouldnt, have
Shredded, skin
Shrivelfig, as
Shrivelfigs, Harry
Shuffling, playing
Shut, up
Sickles, inside
Signed, copies
Silence, except
Silhouetted, on
Simple, yet
Since, the
Sinistra, of
Sir, why
Sit, down
Six, solid
SkeleGro, Happy
Skip, the
Skowers, AllPurpose
Skulkin, around
Sleeping, Draught
Slightly, dizzy
Slipped, your
Slowly, he
Slug, Repellent
Sly, 
Slytherin, 
Slytherins, heir
Smeltings, said
Smethleys, street
Smile, Award
Snake, language
Snap, set
Snape, teach
Snapes, office
Snarling, Ron
Snitch, on
So, 
Solution, hit
Some, of
Someone, wouldve
Someones, been
Something, very
Sometimes, they
Somewhere, there
Sonnets, of
Soon, the
Sorcerer, spoke
Sorcery, 
Sorry, to
Sorted, 
Sorting, Hat
Sounds, dead
Speak, to
Special, Awards
Spect, Lucius
Spell, still
Spellotape, but
Spellotaped, wand
Spells, Grade
Spiders, flee
Spinnet, angrily
Spinnets, shoulder
Spit, it
Sprinting, up
Sprout, Werent
Sprouts, scowl
Squad, but
Squib, In
Squibs, cat
Ssit, down
St, Catchpole
Staggering, slightly
Stand, aside
Standard, Book
Standing, on
Star, was
Stars, winking
Start, NoHeat
Statute, of
Stay, stilll
Steam, was
Stepping, nimbly
Stiff, cold
Stifflegged, and
Still, the
Stomachache, Ron
Stood, out
Stop, screamed
Stored, in
Straight, ahead
Strange, likenesses
Strangers, clicked
Struggling, terrified
Studies, is
Studying, hard
Stuff, like
Stuffing, the
Stupid, 
Such, a
Suddenly, something
Summer, was
Sunday, morning
Supplies, until
Supposing, he
Surely, 
Suspension, 
Swelling, Solution
Sword, said
T, M
TAKING, A
THAT, TREE
THE, BOY
THEYD, EXPELLED
THINK, WHAT
THIS, YOU
THOUGHT, YOUR
THREATEN, DUDLEY
THROUGH, WHEN
TILL, I
TO, BEHAVE
TOE, OUT
TOLD, YOU
TOLERATE, MENTION
TREE, Harry
Take, your
Taken, into
Taking, a
Tarantallegral, and
Teachers, prefects
Tell, me
Ten, minutes
Tentacula, its
Thank, you
Thankfully, Snape
Thanks, said
That, boy
Thatd, lead
Thatll, give
Thats, who
The, Hogwarts
Their, shadows
Then, he
There, was
Therell, be
Theres, a
These, words
They, were
Theyd, heard
Theyll, be
Theyre, talking
Theyve, taken
Thick, pearly
Things, that
Thingsve, gone
Thingy, 
Think, It
Thinking, that
Third, Class
This, is
Thomas, loudly
Those, spiders
Though, if
Thought, it
Thousand, and
Three, days
Through, a
Ththank, you
Thursday, afternoons
Tickling, Charm
Tie, that
Time, to
Tips, when
Tis, a
To, business
Toadstools, He
Today, was
Todays, your
Together, they
Tom, Riddle
Tomorrows, the
Tonight, will
Too, soon
Took, ages
Topsham, writes
Torture, 
Touch, Cursed
Touchdown, said
Tower, ever
Towering, stone
Traffic, was
Training, for
Transfiguration, book
Transmogrifian, Torture
Transylvanian, villager
Travels, with
Treacle, toffee
Trolls, As
Trust, me
Try, and
Trying, very
Tshirt, was
Tuck, your
Turn, back
Tut, tut
Tve, got
Twenty, cauldrons
Twice, 
Two, large
UNDER, THIS
UNDERAGE, WIZARD
UP, TO
USE, OF
Ubend, thinking
Ugly, Myrtle
Uhoh, said
Unable, to
Unbelievable, Wed
Unbelievablel, beamed
Uncle, Vernon
Undaunted, Hermione
Under, the
Underage, Wizardry
Underground, 
Unfair, Harrys
Unfortunately, the
Unless, Im
Unlike, the
Up, you
Upside, down
Upstairs, Hurry
Urgent, call
Urgh, said
Us, Malfoy
Useful, Tips
V, THE
VERY, SECRET
Valentines, Day
Vampires, with
Vanishing, Spell
Vauxhall, Road
Venomous, Tentacula
Vernon, and
Vernons, grasp
Veronica, Smethleys
Very, fortunate
Vol, 
Voldemort, was
Voldemorts, old
Voyages, with
Vvery, well
WAIT, TILL
WALL, Whats
WARNED, YOU
WARNING, Harry
WAS, GONE
WATCH, OUT
WE, DIDNT
WELL, BRING
WENT, THROUGH
WHAM, He
WHAT, YOUR
WHEN, WE
WHOMPING, WILLOW
WILL, REQUIRE
WILLOW, The
WITH, TAKING
WIZARD, attached
WORD, IN
WORK, ITS
WORST, BIRTHDAY
WOULD, DIE
WOULDNT, HAVE
WRITING, ON
Wagga, Werewolf
Wailing, Widow
Wait, with
Waiting, for
Wake, up
Wand, Some
Wanderings, with
Wands, at
Wanted, to
Warbeck, Mrs
Warlock, Convention
Warlocks, Statute
Was, giving
Wash, away
Wasnt, that
Watch, him
Watching, Harry
We, have
Weasley, was
Weasleys, are
Wed, better
Wednesday, did
Weeklys, MostCharmingSmile
Welcome, Patrick
Well, 
Were, going
Werent, you
Werewolf, Signed
Werewolves, more
Wet, Start
Weve, got
Wh, 
Whassamatter, said
What, Its
Whatever, said
Whatll, we
Whatre, we
Whats, that
Whatve, you
When, they
Where, now
Wheres, Lockhart
Which, makes
While, Ron
White, hot
Whitefaced, and
Who, knows
WhoMustNotBeNamed, at
Whod, want
Whomping, Willow
Whoops, 
Whos, that
Whose, hair
Why, so
Whyre, you
Whys, Potter
Widow, came
Will, the
Willow, and
Wish, Dobby
Witch, Weeklys
Witchcraft, and
Witching, Hour
With, a
Without, any
Wizard, blood
Wizarding, Joke
Wizardry, Thats
Wizards, I
Wonder, if
Wondering, how
Wood, excitedly
Wooden, filing
Woods, usual
Worried, he
Worse, still
Would, you
Wouldnt, dream
Wow, Harry
Write, home
Written, across
Wwhat, am
Wwhats, that
Wwheres, Riddle
Xrayed, Innocent
YEARS, They
YOU, SNIFF
YOUR, LIVES
Yawning, and
Yeah, right
Year, with
Years, and
Yeh, can
Yer, more
Yes, thats
Yet, the
Yeti, And
You, wont
YouKnow, Whos
YouKnowWho, Enenchant
Youd, better
Youll, meet
Your, aunt
Youre, alive
Yours, sincerely
Youve, lost
Z, Nettles
a, telephone
abandoned, me
abandoning, Mr
abashed, and
abilities, Harry
abject, terror
ablaze, As
able, to
about, Lockhart
above, him
abruptly, I
absence, of
absently, for
absentmindedly, picking
absolutely, no
absorbing, conversation
absurd, Hed
accelerator, but
accept, huntsmen
accepted, combative
accident, down
accidentally, asked
accidentprone, boy
accidents, 
accompanied, by
accompanying, explosions
according, to
account, to
accurate, impression
accusing, stare
achievement, to
aching, hand
acne, clears
acrid, smell
across, to
act, I
acted, of
acting, through
action, and
activities, The
activity, Page
acts, of
actual, stealing
actually, told
add, 
added, anxiously
adding, more
address, the
addressed, him
addressing, the
admiring, the
admit, even
admitted, drying
ado, they
adoration, You
advanced, 
adventure, Dumbledore
advertisement, for
advice, but
advise, you
advised, And
advising, him
affair, had
affect, our
affectionate, sort
afford, all
affronted, That
afraid, we
after, all
aftermath, of
afternoon, ever
afternoons, lesson
afterward, 
again, Too
against, Mrs
age, when
aged, spider
ages, 
aggravated, tone
aggravating, Draco
aggressively, Hermione
aghast, Go
agitation, sending
agleam, an
aglow, Harry
ago, at
agonizing, moment
agony, NO
agree, to
agreed, The
agreement, as
ah, 
ahead, on
aim, was
aimed, a
aiming, a
air, was
airborne, menace
airplanes, said
airy, tone
ajar, They
alarm, The
alarmed, Dumbledore
alarmingly, as
alert, the
alike, 
alive, Potter
all, over
alley, examining
alleyway, out
allmagic, Page
allnew, failsafe
allow, you
allowed, to
alltime, low
almighty, bang
almost, at
alone, and
along, the
alongside, them
aloud, Hagrids
already, using
also, moving
although, his
altitude, all
always, find
am, lord
amazed, saw
amazement, All
amazing, things
ambition, is
ambitious, Percy
ambled, out
amid, the
among, the
amongst, you
amount, As
amounts, of
amulets, and
amused, eye
amusement, Well
amusing, I
an, empty
ancient, and
and, the
anger, It
angle, riddled
angrily, She
angry, I
anguished, sobs
animal, bones
animals, from
ankle, Ron
ankles, he
announce, dinner
announced, that
announcement, at
announcing, that
annoyance, of
annoyed, The
annoying, Potter
annoyingly, close
another, two
answer, He
answered, Dont
answering, voice
answers, when
anticipating, their
antics, seemed
antidote, and
antidotes, It
antiques, shop
ants, villages
anxiety, to
anxious, look
anxiously, Wouldnt
any, more
anybody, I
anybodys, office
anymore, 
anyone, Oh
anyones, so
anything, that
anytime, said
anyway, Ron
anywhere, near
apart, anything
apiece, for
apologetic, to
apologetically, around
apologize, endlessly
apologizing, for
apology, 
apoplectic, with
apothecary, Skulkin
apparently, too
appeal, 
appear, since
appearance, Hagrid
appeared, inside
applauded, again
applause, didnt
apples, for
apply, for
appointed, Head
appointment, 
appreciate, that
appreciatively, Draco
apprehensively, at
approached, his
approaching, the
approvingly, Good
apron, with
aquamarine, And
aquiver, his
arc, soaring
archenemy, Draco
are, traced
arent, as
argue, that
arguing, The
argument, on
arm, through
armchair, and
armchairs, where
armful, of
armor, next
arms, around
around, the
arranged, his
arrangements, might
arranging, this
arrant, nonsense
arrest, than
arrested, said
arrival, and
arrive, Arms
